,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
0,STAY US 01/18/19 C10 Equity,5/21/2018,,19.91500092,7.69999981,1991.500092,10.81,94.62
1,STAY US 01/18/19 C10 Equity,5/22/2018,,19.72500038,9.5,1972.5000380000001,10.4,86.4
2,STAY US 01/18/19 C10 Equity,5/23/2018,,19.72999954,9.30000019,1972.9999540000001,10.61,94.9
3,STAY US 01/18/19 C10 Equity,5/24/2018,,19.79000092,9.30000019,1979.000092,10.4,85.44
4,STAY US 01/18/19 C10 Equity,5/25/2018,,20.03499985,9.39999962,2003.499985,10.81,93.18
5,STAY US 01/18/19 C10 Equity,5/28/2018,,20.03499985,9.39999962,2003.499985,10.81,93.18
6,STAY US 01/18/19 C10 Equity,5/29/2018,,19.59000015,9.10000038,1959.000015,10.5,96.24
7,STAY US 01/18/19 C10 Equity,5/30/2018,,19.84000015,9.30000019,1984.000015,10.4,84.29
8,STAY US 01/18/19 C10 Equity,5/31/2018,,21.09000015,10.60000038,2109.000015,11.9,98.74
9,STAY US 01/18/19 C10 Equity,6/1/2018,,21.20499992,11.0,2120.499992,12.0,98.49
10,STAY US 01/18/19 C10 Equity,6/4/2018,,21.38999939,10.89999962,2138.999939,12.11,96.26
11,STAY US 01/18/19 C10 Equity,6/5/2018,,21.89500046,11.30000019,2189.5000459999997,12.61,97.74
12,STAY US 01/18/19 C10 Equity,6/6/2018,,22.21999931,11.60000038,2221.999931,13.11,106.0
13,STAY US 01/18/19 C10 Equity,6/7/2018,,21.77499962,11.5,2177.499962,12.2,85.51
14,STAY US 01/18/19 C10 Equity,6/8/2018,,21.48999977,11.19999981,2148.999977,11.7,72.45
15,STAY US 01/18/19 C10 Equity,6/11/2018,,21.35000038,11.10000038,2135.000038,12.11,99.6
16,STAY US 01/18/19 C10 Equity,6/12/2018,,21.38500023,11.10000038,2138.500023,11.61,73.39
17,STAY US 01/18/19 C10 Equity,6/13/2018,,21.18499947,11.0,2118.4999470000002,11.81,93.65
18,STAY US 01/18/19 C10 Equity,6/14/2018,,21.56500053,11.39999962,2156.5000529999998,12.7,115.7
19,STAY US 01/18/19 C10 Equity,6/15/2018,,21.76499939,11.5,2176.499939,12.9,116.78
20,STAY US 01/18/19 C10 Equity,6/18/2018,,21.88999939,11.30000019,2188.999939,12.4,92.51
21,STAY US 01/18/19 C10 Equity,6/19/2018,,22.0,11.30000019,2200.0,12.81,105.81
22,STAY US 01/18/19 C10 Equity,6/20/2018,,22.51499939,11.89999962,2251.499939,13.31,107.24
23,STAY US 01/18/19 C10 Equity,6/21/2018,,22.30500031,11.80000019,2230.500031,14.81,166.94
24,STAY US 01/18/19 C10 Equity,6/22/2018,,22.45499992,11.89999962,2245.499992,13.2,105.95
25,STAY US 01/18/19 C10 Equity,6/25/2018,,21.96500015,11.30000019,2196.500015,12.61,100.4
26,STAY US 01/18/19 C10 Equity,6/26/2018,,22.00499916,11.39999962,2200.499916,12.9,111.36
27,STAY US 01/18/19 C10 Equity,6/27/2018,,21.28499985,10.5,2128.499985,12.2,109.52
28,STAY US 01/18/19 C10 Equity,6/28/2018,,21.45499992,10.60000038,2145.499992,12.4,111.63
29,STAY US 01/18/19 C10 Equity,6/29/2018,,21.62000084,11.0,2162.000084,12.61,113.67
30,STAY US 01/18/19 C10 Equity,7/2/2018,,21.45999908,10.69999981,2145.999908,13.11,138.19
31,STAY US 01/18/19 C10 Equity,7/3/2018,,21.52000046,11.10000038,2152.0000459999997,12.11,98.27
32,STAY US 01/18/19 C10 Equity,7/4/2018,,21.52000046,11.10000038,2152.0000459999997,12.11,98.27
33,STAY US 01/18/19 C10 Equity,7/5/2018,,21.65999985,10.39999962,2165.999985,12.5,110.86
34,STAY US 01/18/19 C10 Equity,7/6/2018,,21.81999969,11.0,2181.999969,12.61,109.31
35,STAY US 01/18/19 C10 Equity,7/9/2018,,21.60000038,10.80000019,2160.000038,12.5,114.29
36,STAY US 01/18/19 C10 Equity,7/10/2018,,21.56500053,10.5,2156.5000529999998,12.11,99.03
37,STAY US 01/18/19 C10 Equity,7/11/2018,,21.27000046,10.60000038,2127.0000459999997,12.81,137.78
38,STAY US 01/18/19 C10 Equity,7/12/2018,,21.53000069,10.89999962,2153.000069,12.31,110.01
39,STAY US 01/18/19 C10 Equity,7/13/2018,,21.45499992,10.30000019,2145.499992,12.7,129.04
40,STAY US 01/18/19 C10 Equity,7/16/2018,,21.20999908,10.39999962,2120.999908,12.4,126.83
41,STAY US 01/18/19 C10 Equity,7/17/2018,,21.29000092,10.60000038,2129.000092,12.11,111.86
42,STAY US 01/18/19 C10 Equity,7/18/2018,,21.65500069,10.69999981,2165.500069,12.61,119.5
43,STAY US 01/18/19 C10 Equity,7/19/2018,,21.72500038,10.60000038,2172.500038,13.0,133.44
44,STAY US 01/18/19 C10 Equity,7/20/2018,,21.84000015,10.80000019,2184.000015,12.7,117.9
45,STAY US 01/18/19 C10 Equity,7/23/2018,,22.20000076,11.5,2220.0000760000003,13.11,122.09
46,STAY US 01/18/19 C10 Equity,7/24/2018,,21.56999969,10.5,2156.999969,12.7,129.15
47,STAY US 01/18/19 C10 Equity,7/25/2018,,21.83499908,11.19999981,2183.499908,12.61,115.64
48,STAY US 01/18/19 C10 Equity,7/26/2018,,21.70000076,10.69999981,2170.0000760000003,12.61,121.42
